Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
17.01.2025,"1.650,00","1.700,00","1.650,00","1.695,45","2,75",110,186.500,186.500
21.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",13,21.450,21.450
18.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",190.0,313.500,313.500
15.11.2024,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",100.0,165.000,165.000
21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208.0,343.200,343.200
18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2.0,3.400,3.400
10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200.0,340.000,340.000
09.10.2024,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16.0,28.000,28.000
02.10.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",100.0,180.000,180.000
24.09.2024,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",16.0,28.800,28.800
23.09.2024,"1.800,00","1.800,00","1.800,00","1.800,00","1,69",94.0,169.200,169.200
20.09.2024,"1.770,00","1.770,00","1.770,00","1.770,00","4,12",135.0,238.950,238.950
19.09.2024,"1.700,00","1.700,00","1.700,00","1.700,00","3,28",200.0,340.000,340.000
18.09.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",10.0,16.460,16.460
17.09.2024,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",265.0,436.190,436.190
13.09.2024,"1.646,00","1.646,00","1.646,00","1.646,00","2,88",120.0,197.520,197.520
26.08.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",150.0,240.000,240.000
23.08.2024,"1.610,00","1.610,00","1.610,00","1.610,00","-2,37",83.0,133.630,133.630
14.08.2024,"1.649,00","1.649,00","1.649,00","1.649,00","9,57",15.0,24.735,24.735
13.08.2024,"1.505,00","1.505,00","1.505,00","1.505,00","0,33",100.0,150.500,150.500
07.08.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",200.0,300.000,300.000
30.07.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",240.0,360.000,360.000
29.07.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",600.0,900.000,900.000
12.07.2024,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",368.0,552.000,552.000
10.07.2024,"1.500,00","1.500,00","1.500,00","1.500,00","-6,25",600.0,900.000,900.000
27.06.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-5,33",200.0,320.000,320.000
29.05.2024,"1.690,00","1.690,00","1.690,00","1.690,00","0,12",50.0,84.500,84.500
17.05.2024,"1.688,00","1.688,00","1.688,00","1.688,00","-0,53",76.0,128.288,128.288
14.05.2024,"1.697,00","1.697,00","1.697,00","1.697,00","41,42",50.0,84.850,84.850
05.02.2024,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",153.0,183.600,183.600
31.01.2024,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",295.0,354.000,354.000
19.12.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",100.0,100.000,100.000
29.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",600.0,600.000,600.000
13.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",260.0,260.000,260.000
09.11.2023,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",200.0,200.000,200.000
05.10.2023,"1.000,00","1.000,00","1.000,00","1.000,00","15,61",100.0,100.000,100.000
11.07.2023,"865,00","865,00","865,00","865,00","1,76",70.0,60.550,60.550
06.07.2023,"850,00","850,00","850,00","850,00","17,73",100.0,85.000,85.000
14.02.2023,"722,00","722,00","722,00","722,00","-14,05",505.0,364.610,364.610
20.01.2023,"840,00","840,00","840,00","840,00","0,00",95.0,79.800,79.800
23.12.2022,"840,00","840,00","840,00","840,00","2,94",120.0,100.800,100.800
16.12.2022,"816,00","816,00","816,00","816,00","0,12",400.0,326.400,326.400
23.11.2022,"815,00","815,00","815,00","815,00","0,00",200.0,163.000,163.000
22.07.2022,"815,00","815,00","815,00","815,00","1,24",10.0,8.150,8.150
31.05.2022,"805,00","805,00","805,00","805,00","2,94",50.0,40.250,40.250
12.05.2022,"782,00","782,00","782,00","782,00","2,89",10.0,7.820,7.820
18.03.2022,"760,00","760,00","760,00","760,00","1,20",550.0,418.000,418.000
16.03.2022,"751,00","751,00","751,00","751,00","0,13",1.1,826.100,826.100
07.03.2022,"750,00","750,00","750,00","750,00","0,00",100.0,75.000,75.000
24.02.2022,"750,00","750,00","750,00","750,00","2,46",120.0,90.000,90.000
21.02.2022,"732,00","732,00","732,00","732,00","2,95",30.0,21.960,21.960
17.01.2022,"711,00","711,00","711,00","711,00","0,99",30.0,21.330,21.330
13.01.2022,"704,00","704,00","704,00","704,00","0,57",25.0,17.600,17.600
17.11.2021,"700,00","700,00","700,00","700,00","0,00",50.0,35.000,35.000
27.10.2021,"700,00","700,00","700,00","700,00","0,00",61.0,42.700,42.700
22.10.2021,"700,00","700,00","700,00","700,00","0,00",30.0,21.000,21.000
27.09.2021,"700,00","700,00","700,00","700,00","2,79",61.0,42.700,42.700
21.09.2021,"681,00","681,00","681,00","681,00","4,45",50.0,34.050,34.050
27.07.2021,"652,00","652,00","652,00","652,00","-1,36",50.0,32.600,32.600
30.06.2021,"661,00","661,00","661,00","661,00","4,42",50.0,33.050,33.050
14.05.2021,"633,00","633,00","633,00","633,00","-15,60",100.0,63.300,63.300
05.05.2021,"750,00","750,00","750,00","750,00","0,00",50.0,37.500,37.500
28.04.2021,"750,00","750,00","750,00","750,00","0,00",120.0,90.000,90.000
23.04.2021,"750,00","750,00","750,00","750,00","0,00",50.0,37.500,37.500
25.03.2021,"750,00","750,00","750,00","750,00","0,00",450.0,337.500,337.500
12.03.2021,"750,00","750,00","750,00","750,00","0,00",50.0,37.500,37.500
01.03.2021,"750,00","750,00","750,00","750,00","2,60",170.0,127.500,127.500
23.02.2021,"731,00","731,00","731,00","731,00","4,28",168.0,122.808,122.808
16.02.2021,"701,00","701,00","701,00","701,00","1,59",50.0,35.050,35.050
21.01.2021,"690,00","690,00","690,00","690,00","0,00",129.0,89.010,89.010
20.01.2021,"690,00","690,00","690,00","690,00","0,00",129.0,89.010,89.010
18.01.2021,"690,00","690,00","690,00","690,00","1,62",40.0,27.600,27.600
05.01.2021,"679,00","679,00","679,00","679,00","0,00",22.0,14.938,14.938
14.12.2020,"679,00","679,00","679,00","679,00","-3,00",25.0,16.975,16.975
26.11.2020,"700,00","700,00","700,00","700,00","0,00",70.0,49.000,49.000
24.11.2020,"700,00","700,00","700,00","700,00","0,14",360.0,252.000,252.000
23.11.2020,"699,00","699,00","699,00","699,00","-0,14",200.0,139.800,139.800
18.11.2020,"700,00","700,00","700,00","700,00","0,00",340.0,238.000,238.000
16.11.2020,"700,00","700,00","700,00","700,00","0,00",300.0,210.000,210.000
13.11.2020,"700,00","700,00","700,00","700,00","5,11",185.0,129.500,129.500
12.11.2020,"666,00","666,00","666,00","666,00","7,77",15.0,9.990,9.990
05.08.2020,"618,00","618,00","618,00","618,00","0,00",2.4,1.483.200,1.483.200
30.07.2020,"618,00","618,00","618,00","618,00","0,00",200.0,123.600,123.600
06.07.2020,"618,00","618,00","618,00","618,00","0,00",100.0,61.800,61.800
02.07.2020,"618,00","618,00","618,00","618,00","0,00",150.0,92.700,92.700
30.06.2020,"618,00","618,00","618,00","618,00","3,00",1.0,618.000,618.000
29.06.2020,"600,00","600,00","600,00","600,00","-9,09",300.0,180.000,180.000
19.09.2019,"660,00","660,00","660,00","660,00","-2,80",300.0,198.000,198.000
03.09.2019,"679,00","679,00","679,00","679,00","2,88",115.0,78.085,78.085
27.08.2019,"660,00","660,00","660,00","660,00","6,45",2.94,1.940.400,1.940.400
14.08.2019,"620,00","620,00","620,00","620,00","0,00",100.0,62.000,62.000
08.08.2019,"620,00","620,00","620,00","620,00","-8,69",1.504,932.480,932.480
21.06.2019,"679,00","679,00","679,00","679,00","-3,00",400.0,271.600,271.600
29.05.2019,"700,00","700,00","700,00","700,00","8,02",885.0,619.500,619.500
19.04.2019,"648,00","648,00","648,00","648,00","0,00",20.0,12.960,12.960
17.04.2019,"648,00","648,00","648,00","648,00","-6,22",150.0,97.200,97.200
22.03.2019,"691,00","691,00","691,00","691,00","0,00",100.0,69.100,69.100
04.03.2019,"691,00","691,00","691,00","691,00","4,70",380.0,262.580,262.580
14.02.2019,"660,00","660,00","660,00","660,00","0,00",1.0,660.000,660.000
26.12.2018,"660,00","660,00","660,00","660,00","0,00",50.0,33.000,33.000
18.12.2018,"660,00","660,00","660,00","660,00","-5,71",400.0,264.000,264.000
29.11.2018,"700,00","700,00","700,00","700,00","0,00",80.0,56.000,56.000
28.11.2018,"700,00","700,00","700,00","700,00","13,27",270.0,189.000,189.000
01.11.2018,"618,00","618,00","618,00","618,00","10,36",360.0,222.480,222.480
24.09.2018,"560,00","560,00","560,00","560,00","0,00",15.0,8.400,8.400
20.09.2018,"560,00","560,00","560,00","560,00","0,54",500.0,280.000,280.000
17.09.2018,"557,00","557,00","557,00","557,00","-2,96",360.0,200.520,200.520
23.08.2018,"574,00","574,00","574,00","574,00","2,87",500.0,287.000,287.000
16.08.2018,"558,00","558,00","558,00","558,00","0,00",320.0,178.560,178.560
25.07.2018,"558,00","558,00","558,00","558,00","13,88",105.0,58.590,58.590
07.03.2018,"490,00","490,00","490,00","490,00","0,00",50.0,24.500,24.500
14.02.2018,"490,00","490,00","490,00","490,00","0,00",200.0,98.000,98.000
29.01.2018,"490,00","490,00","490,00","490,00","-5,41",110.0,53.900,53.900
04.01.2018,"518,00","518,00","518,00","518,00","-3,00",350.0,181.300,181.300
24.11.2017,"534,00","534,00","534,00","534,00","-1,11",200.0,106.800,106.800
21.11.2017,"540,00","540,00","540,00","540,00","-1,82",120.0,64.800,64.800
20.11.2017,"550,00","550,00","550,00","550,00","0,00",350.0,192.500,192.500
16.11.2017,"550,00","550,00","550,00","550,00","-2,83",10.0,5.500,5.500
07.11.2017,"566,00","566,00","566,00","566,00","2,91",600.0,339.600,339.600
02.11.2017,"550,00","550,00","550,00","550,00","0,00",30.0,16.500,16.500
27.10.2017,"550,00","550,00","550,00","550,00","-16,54",500.0,275.000,275.000
07.09.2017,"659,00","659,00","659,00","659,00","-3,09",100.0,65.900,65.900
27.04.2017,"680,00","680,00","680,00","680,00","0,00",1.288,875.840,875.840
25.04.2017,"680,00","680,00","680,00","680,00","6,25",18.308,12.449.440,12.449.440
19.04.2017,"640,00","640,00","640,00","640,00","6,49",666.0,426.240,426.240
07.04.2017,"601,00","601,00","601,00","601,00","-6,09",10.0,6.010,6.010
04.04.2017,"640,00","640,00","640,00","640,00","0,16",1.0,640.000,640.000
29.03.2017,"639,00","639,00","639,00","639,00","-8,71",127.0,81.153,81.153
27.03.2017,"700,00","700,00","700,00","700,00","9,55",5.0,3.500,3.500
23.03.2017,"639,00","639,00","639,00","639,00","-2,74",5.0,3.195,3.195
13.03.2017,"657,00","657,00","657,00","657,00","-10,00",15.0,9.855,9.855
07.03.2017,"730,00","730,00","730,00","730,00","5,42",155.0,113.150,113.150
06.03.2017,"730,00","730,00","630,00","692,50","0,95",40.0,27.700,27.700
