Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
19.07.2024,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",33,610.830,610.830
03.10.2022,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",15,277.650,277.650
27.09.2019,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",15,277.650,277.650
29.08.2018,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",14,259.140,259.140
05.07.2018,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",14,259.140,259.140
25.04.2018,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",37,684.870,684.870
22.05.2017,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",45,832.950,832.950
28.03.2017,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",280,5.182.800,5.182.800
24.03.2017,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",273,5.053.230,5.053.230
22.12.2016,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",13,240.630,240.630
28.11.2016,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",11,203.610,203.610
31.10.2016,"18.510,00","18.510,00","18.510,00","18.510,00","54,25",50,925.500,925.500
