Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
16.08.2024,"750,00","750,00","750,00","750,00","0,00",94,70.500,70.500
20.12.2023,"750,00","750,00","750,00","750,00","0,00",10.0,7.5,7.5
11.12.2023,"750,00","750,00","750,00","750,00","0,00",409.0,306.75,306.75
10.11.2023,"750,00","750,00","750,00","750,00","0,00",9.0,6.75,6.75
12.05.2023,"750,00","750,00","750,00","750,00","0,00",566.0,424.5,424.5
04.03.2019,"750,00","750,00","750,00","750,00","0,00",20.0,15.0,15.0
17.07.2018,"750,00","750,00","750,00","750,00","0,00",11.0,8.25,8.25
22.10.2015,"750,00","750,00","750,00","750,00","0,00",125.0,93.75,93.75
07.05.2015,"750,00","750,00","750,00","750,00","0,00",110.0,82.5,82.5
29.12.2014,"750,00","750,00","750,00","750,00","0,00",1.1,825.0,825.0
