Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
25.12.2024,"3.120,00","3.120,00","3.120,00","3.120,00","2,97",195,608.400,9.172.800
01.10.2024,"3.030,00","3.030,00","3.030,00","3.030,00","0,00",15.0,45.450,45.450
16.09.2024,"3.030,00","3.030,00","3.030,00","3.030,00","2,71",400.0,1.212.000,1.212.000
04.06.2024,"2.950,00","2.950,00","2.950,00","2.950,00","0,00",31.0,91.450,91.450
02.05.2024,"2.950,00","2.950,00","2.950,00","2.950,00","0,00",70.0,206.500,206.500
04.04.2024,"2.950,00","2.950,00","2.950,00","2.950,00","0,00",7.0,20.650,20.650
05.03.2024,"2.950,00","2.950,00","2.950,00","2.950,00","0,00",100.0,295.000,295.000
28.11.2023,"2.950,00","2.950,00","2.950,00","2.950,00","0,00",114.0,336.300,336.300
20.11.2023,"2.950,00","2.950,00","2.950,00","2.950,00","-2,96",15.0,44.250,44.250
29.09.2023,"3.040,00","3.040,00","3.040,00","3.040,00","3,05",20.0,60.800,60.800
14.09.2023,"2.950,00","2.950,00","2.950,00","2.950,00","-2,96",55.0,162.250,162.250
21.07.2023,"3.040,00","3.040,00","3.040,00","3.040,00","0,00",100.0,304.000,304.000
04.07.2023,"3.040,00","3.040,00","3.040,00","3.040,00","1,77",200.0,608.000,608.000
06.06.2023,"2.987,00","2.987,00","2.987,00","2.987,00","0,00",14.0,41.818,41.818
04.05.2023,"2.987,00","2.987,00","2.987,00","2.987,00","0,00",158.0,471.946,471.946
25.04.2023,"2.987,00","2.987,00","2.987,00","2.987,00","3,00",158.0,471.946,471.946
02.03.2023,"2.900,00","2.900,00","2.900,00","2.900,00","1,26",100.0,290.000,290.000
06.02.2023,"2.864,00","2.864,00","2.864,00","2.864,00","0,00",105.0,300.720,300.720
25.01.2023,"2.864,00","2.864,00","2.864,00","2.864,00","2,98",117.0,335.088,335.088
16.01.2023,"2.781,00","2.781,00","2.781,00","2.781,00","3,00",25.0,69.525,69.525
25.08.2022,"2.700,00","2.700,00","2.700,00","2.700,00","8,00",60.0,162.000,162.000
01.06.2022,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",121.0,302.500,302.500
15.04.2022,"2.500,00","2.500,00","2.500,00","2.500,00","-7,41",3.0,7.500,7.500
09.02.2022,"2.700,00","2.700,00","2.700,00","2.700,00","0,00",250.0,675.000,675.000
08.02.2022,"2.700,00","2.700,00","2.700,00","2.700,00","10,20",1.025,2.767.500,2.767.500
03.02.2022,"2.450,00","2.450,00","2.450,00","2.450,00","-2,27",141.0,345.450,345.450
09.11.2021,"2.507,00","2.507,00","2.507,00","2.507,00","0,00",20.0,50.140,50.140
03.11.2021,"2.507,00","2.507,00","2.507,00","2.507,00","0,28",100.0,250.700,250.700
13.07.2021,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",50.0,125.000,125.000
28.05.2021,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",181.0,452.500,452.500
17.05.2021,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",18.0,45.000,45.000
04.05.2021,"2.500,00","2.500,00","2.500,00","2.500,00","2,92",13.0,32.500,32.500
28.04.2021,"2.429,00","2.429,00","2.429,00","2.429,00","0,21",178.0,432.362,432.362
27.04.2021,"2.424,00","2.424,00","2.424,00","2.424,00","4,98",335.0,812.040,812.040
13.04.2021,"2.309,00","2.309,00","2.309,00","2.309,00","0,74",85.0,196.265,196.265
19.03.2021,"2.292,00","2.292,00","2.292,00","2.292,00","1,51",100.0,229.200,229.200
09.03.2021,"2.258,00","2.258,00","2.258,00","2.258,00","-1,83",300.0,677.400,677.400
22.02.2021,"2.300,00","2.300,00","2.300,00","2.300,00","0,00",90.0,207.000,207.000
03.02.2021,"2.300,00","2.300,00","2.300,00","2.300,00","4,55",125.0,287.500,287.500
28.01.2021,"2.200,00","2.200,00","2.200,00","2.200,00","1,85",33.0,72.600,72.600
17.11.2020,"2.160,00","2.160,00","2.160,00","2.160,00","2,86",11.0,23.760,23.760
19.08.2020,"2.100,00","2.100,00","2.100,00","2.100,00","-4,63",110.0,231.000,231.000
17.08.2020,"2.202,00","2.202,00","2.202,00","2.202,00","0,00",156.0,343.512,343.512
14.08.2020,"2.202,00","2.202,00","2.202,00","2.202,00","9,88",298.0,656.196,656.196
13.08.2020,"2.004,00","2.004,00","2.004,00","2.004,00","-8,91",5.0,10.020,10.020
15.06.2020,"2.200,00","2.200,00","2.200,00","2.200,00","0,00",260.0,572.000,572.000
12.06.2020,"2.200,00","2.200,00","2.200,00","2.200,00","-8,33",1.998,4.395.600,4.395.600
13.04.2020,"2.400,00","2.400,00","2.400,00","2.400,00","9,09",7.0,16.800,16.800
27.01.2020,"2.200,00","2.200,00","2.200,00","2.200,00","-8,26",151.0,332.200,332.200
14.01.2020,"2.398,00","2.398,00","2.398,00","2.398,00","0,00",20.0,47.960,47.960
20.12.2019,"2.398,00","2.398,00","2.398,00","2.398,00","19,90",4.0,9.592,9.592
15.11.2019,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",50.0,100.000,100.000
08.11.2019,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",100.0,200.000,200.000
07.11.2019,"2.000,00","2.000,00","2.000,00","2.000,00","-0,05",100.0,200.000,200.000
06.11.2019,"2.001,00","2.001,00","2.001,00","2.001,00","0,05",50.0,100.050,100.050
08.10.2019,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",355.0,710.000,710.000
12.06.2019,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",215.0,430.000,430.000
05.06.2019,"2.000,00","2.000,00","2.000,00","2.000,00","5,26",685.0,1.370.000,1.370.000
08.04.2019,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",117.0,222.300,222.300
29.03.2019,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",78.0,148.200,148.200
14.03.2019,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",40.0,76.000,76.000
04.03.2019,"1.900,00","1.900,00","1.900,00","1.900,00","5,56",200.0,380.000,380.000
18.10.2018,"1.800,00","1.800,00","1.800,00","1.800,00","5,88",20.0,36.000,36.000
15.10.2018,"1.700,00","1.700,00","1.700,00","1.700,00","-5,82",20.0,34.000,34.000
05.10.2018,"1.805,00","1.805,00","1.805,00","1.805,00","-5,00",100.0,180.500,180.500
27.09.2018,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",17.0,32.300,32.300
22.08.2018,"1.900,00","1.900,00","1.900,00","1.900,00","0,05",150.0,285.000,285.000
21.08.2018,"1.899,00","1.899,00","1.899,00","1.899,00","-0,11",80.0,151.920,151.920
10.08.2018,"1.901,00","1.901,00","1.901,00","1.901,00","0,05",40.0,76.040,76.040
06.08.2018,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",38.0,72.200,72.200
30.07.2018,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",50.0,95.000,95.000
24.07.2018,"1.900,00","1.900,00","1.900,00","1.900,00","5,38",37.0,70.300,70.300
17.07.2018,"1.803,00","1.803,00","1.803,00","1.803,00","2,97",793.0,1.429.779,1.429.779
06.07.2018,"1.751,00","1.751,00","1.751,00","1.751,00","0,00",151.0,264.401,264.401
05.07.2018,"1.751,00","1.751,00","1.751,00","1.751,00","-2,67",50.0,87.550,87.550
03.07.2018,"1.799,00","1.799,00","1.799,00","1.799,00","5,82",60.0,107.940,107.940
29.06.2018,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",118.0,200.600,200.600
14.06.2018,"1.700,00","1.700,00","1.700,00","1.700,00","-6,59",71.0,120.700,120.700
14.03.2018,"1.820,00","1.820,00","1.820,00","1.820,00","10,30",59.0,107.380,107.380
08.03.2018,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",157.0,259.050,259.050
12.02.2018,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",50.0,82.500,82.500
07.02.2018,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",50.0,82.500,82.500
22.01.2018,"1.700,00","1.700,00","1.700,00","1.700,00","0,06",140.0,238.000,238.000
17.01.2018,"1.699,00","1.699,00","1.699,00","1.699,00","-20,61",52.0,88.348,88.348
08.08.2017,"2.140,00","2.140,00","2.140,00","2.140,00","0,00",40.0,85.600,85.600
25.07.2017,"2.140,00","2.140,00","2.140,00","2.140,00","9,69",10.0,21.400,21.400
24.07.2017,"1.951,00","1.951,00","1.951,00","1.951,00","0,05",12.0,23.412,23.412
20.07.2017,"1.950,00","1.950,00","1.950,00","1.950,00","2,09",100.0,195.000,195.000
19.07.2017,"1.910,00","1.910,00","1.910,00","1.910,00","9,14",55.0,105.050,105.050
13.07.2017,"1.750,00","1.750,00","1.750,00","1.750,00","6,06",103.0,180.250,180.250
