Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
05.01.2023,"158,00","158,00","158,00","158,00","-1,25",10.0,1.580,1.580
24.11.2022,"160,00","160,00","160,00","160,00","2,56",760.0,121.600,121.600
10.11.2022,"156,00","156,00","156,00","156,00","2,63",5.066,790.296,790.296
08.08.2022,"152,00","152,00","152,00","152,00","0,00",1.232,187.264,187.264
23.06.2022,"152,00","152,00","152,00","152,00","0,00",1.91,290.320,290.320
09.06.2022,"152,00","152,00","152,00","152,00","1,33",10.0,1.520,1.520
22.07.2021,"150,00","150,00","150,00","150,00","2,74",100.0,15.000,15.000
12.04.2021,"146,00","146,00","146,00","146,00","-0,68",300.0,43.800,43.800
25.02.2021,"147,00","147,00","147,00","147,00","-1,34",6.858,1.008.126,1.008.126
28.01.2021,"149,00","149,00","149,00","149,00","0,00",3.3,491.700,491.700
16.10.2020,"149,00","149,00","149,00","149,00","-0,67",9.385,1.398.365,1.398.365
18.09.2020,"150,00","150,00","150,00","150,00","-1,32",1.4,210.000,210.000
26.03.2020,"152,00","152,00","152,00","152,00","-5,59",500.0,76.000,76.000
20.03.2020,"161,00","161,00","161,00","161,00","-5,29",500.0,80.500,80.500
18.03.2020,"170,00","170,00","170,00","170,00","-8,11",465.0,79.050,79.050
03.03.2020,"185,00","185,00","185,00","185,00","-1,60",400.0,74.000,74.000
29.01.2020,"188,00","188,00","188,00","188,00","-1,57",1.0,188.000,188.000
12.11.2019,"191,00","191,00","191,00","191,00","-2,55",380.0,72.580,72.580
18.10.2019,"196,00","196,00","196,00","196,00","-2,97",390.0,76.440,76.440
27.06.2019,"202,00","202,00","202,00","202,00","-2,88",1.0,202.000,202.000
17.06.2019,"208,00","208,00","208,00","208,00","-2,80",700.0,145.600,145.600
17.05.2019,"214,00","214,00","214,00","214,00","-2,73",551.0,117.914,117.914
18.04.2019,"220,00","220,00","220,00","220,00","-8,33",500.0,110.000,110.000
19.03.2019,"240,00","240,00","240,00","240,00","-11,11",200.0,48.000,48.000
21.01.2019,"270,00","270,00","270,00","270,00","-5,26",300.0,81.000,81.000
13.12.2018,"285,00","285,00","285,00","285,00","-10,94",510.0,145.350,145.350
29.11.2018,"320,00","320,00","320,00","320,00","-8,57",500.0,160.000,160.000
14.06.2017,"350,00","350,00","350,00","350,00","-2,78",900.0,315.000,315.000
19.11.2015,"360,00","360,00","360,00","360,00","2,86",3.3,1.188.000,1.188.000
23.03.2015,"350,00","350,00","350,00","350,00","-2,78",1.1,385.000,385.000
05.03.2015,"360,00","360,00","360,00","360,00","-2,70",100.0,36.000,36.000
17.02.2015,"370,00","370,00","370,00","370,00","2,78",80.0,29.600,29.600
19.12.2014,"360,00","360,00","360,00","360,00","-2,17",10.0,3.600,3.600
