Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2024,"394,00","394,00","394,00","394,00","1,03",45,17.730,17.730
26.12.2024,"390,00","390,00","390,00","390,00","95,98",45,17.550,17.550
25.12.2024,"199,00","199,00","199,00","199,00","0,00",39,7.761,7.761
13.09.2024,"199,00","199,00","199,00","199,00","-9,55",209,41.591,41.591
09.05.2024,"220,00","220,00","220,00","220,00","0,00",97.0,21.340,21.340
07.05.2024,"220,00","220,00","220,00","220,00","0,00",83.0,18.260,18.260
09.04.2024,"220,00","220,00","220,00","220,00","0,00",17.0,3.740,3.740
29.03.2024,"220,00","220,00","220,00","220,00","-45,00",5.0,1.100,1.100
25.12.2023,"400,00","400,00","400,00","400,00","33,33",28.0,11.200,11.200
20.11.2023,"300,00","300,00","300,00","300,00","36,36",100.0,30.000,30.000
06.11.2023,"220,00","220,00","220,00","220,00","10,00",35.0,7.700,7.700
10.08.2023,"200,00","200,00","200,00","200,00","0,00",454.0,90.800,90.800
13.06.2023,"200,00","200,00","200,00","200,00","0,00",125.0,25.000,25.000
12.06.2023,"200,00","200,00","200,00","200,00","0,00",202.0,40.400,40.400
05.06.2023,"200,00","200,00","200,00","200,00","-49,87",9.153,1.830.600,1.830.600
08.03.2023,"399,00","399,00","399,00","399,00","0,00",12.0,4.788,4.788
21.11.2022,"399,00","399,00","399,00","399,00","-0,25",115.0,45.885,45.885
01.06.2022,"400,00","400,00","400,00","400,00","0,00",65.0,26.000,26.000
26.04.2022,"400,00","400,00","400,00","400,00","0,00",115.0,46.000,46.000
03.02.2022,"400,00","400,00","400,00","400,00","0,00",1.311,524.400,524.400
18.11.2021,"400,00","400,00","400,00","400,00","0,00",27.0,10.800,10.800
09.11.2021,"400,00","400,00","400,00","400,00","0,00",804.0,321.600,321.600
26.10.2021,"400,00","400,00","400,00","400,00","0,00",125.0,50.000,50.000
02.06.2021,"400,00","400,00","400,00","400,00","0,00",100.0,40.000,40.000
31.05.2021,"400,00","400,00","400,00","400,00","0,00",50.0,20.000,20.000
19.05.2021,"400,00","400,00","400,00","400,00","0,00",100.0,40.000,40.000
23.04.2021,"400,00","400,00","400,00","400,00","0,00",129.0,51.600,51.600
20.04.2021,"400,00","400,00","400,00","400,00","0,00",524.0,209.600,209.600
25.01.2021,"400,00","400,00","400,00","400,00","0,00",150.0,60.000,60.000
21.01.2021,"400,00","400,00","400,00","400,00","-0,25",100.0,40.000,40.000
20.01.2021,"401,00","401,00","401,00","401,00","0,25",119.0,47.719,47.719
13.01.2021,"400,00","400,00","400,00","400,00","0,00",436.0,174.400,174.400
14.12.2020,"400,00","400,00","400,00","400,00","0,00",5.267,2.106.800,2.106.800
16.11.2020,"400,00","400,00","400,00","400,00","-7,19",35.0,14.000,14.000
15.10.2020,"431,00","431,00","431,00","431,00","0,00",39.0,16.809,16.809
13.10.2020,"431,00","431,00","431,00","431,00","-28,17",10.0,4.310,4.310
03.03.2020,"600,00","600,00","600,00","600,00","9,09",111.0,66.600,66.600
17.02.2020,"550,00","550,00","550,00","550,00","-3,00",102.0,56.100,56.100
22.01.2020,"567,00","567,00","567,00","567,00","0,00",8.0,4.536,4.536
17.01.2020,"567,00","567,00","567,00","567,00","-2,91",30.0,17.010,17.010
27.12.2019,"584,00","584,00","584,00","584,00","0,17",130.0,75.920,75.920
25.12.2019,"583,00","583,00","583,00","583,00","-3,00",23.0,13.409,13.409
24.12.2019,"601,00","601,00","601,00","601,00","0,00",232.0,139.432,139.432
28.11.2019,"601,00","601,00","601,00","601,00","-7,54",37.0,22.237,22.237
22.10.2019,"650,00","650,00","650,00","650,00","0,00",149.0,96.850,96.850
14.10.2019,"650,00","650,00","650,00","650,00","-13,45",15.0,9.750,9.750
24.09.2019,"751,00","751,00","751,00","751,00","2,88",220.0,165.220,165.220
11.07.2019,"730,00","730,00","730,00","730,00","-8,75",40.0,29.200,29.200
28.06.2019,"800,00","800,00","800,00","800,00","1,18",20.0,16.000,16.000
17.05.2019,"781,00","800,00","781,00","790,69","-1,23",196.0,154.976,154.976
19.04.2019,"800,00","801,00","800,00","800,53","-1,17",94.0,75.250,75.250
04.04.2019,"810,00","810,00","810,00","810,00","-10,00",205.0,166.050,166.050
04.03.2019,"900,00","900,00","900,00","900,00","0,00",254.0,228.600,228.600
22.02.2019,"900,00","900,00","900,00","900,00","0,00",50.0,45.000,45.000
20.02.2019,"900,00","900,00","900,00","900,00","0,00",20.0,18.000,18.000
14.02.2019,"900,00","900,00","900,00","900,00","0,67",56.0,50.400,50.400
11.02.2019,"900,00","900,00","885,00","894,02","-0,66",256.0,228.868,228.868
08.02.2019,"900,00","900,00","900,00","900,00","0,13",110.0,99.000,99.000
05.02.2019,"900,00","900,00","894,00","898,86","0,66",105.0,94.380,94.380
