Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
12.09.2024,"61,00","61,00","61,00","61,00","0,00",242,14.762,14.762
09.04.2024,"61,00","61,00","61,00","61,00","0,00",2.589,157.929,157.929
03.01.2024,"61,00","61,00","61,00","61,00","0,00",490.0,29.89,29.89
28.11.2023,"61,00","61,00","61,00","61,00","0,00",306.0,18.666,18.666
13.09.2023,"61,00","61,00","61,00","61,00","0,00",159.0,9.699,9.699
31.07.2023,"61,00","61,00","61,00","61,00","0,00",285.0,17.385,17.385
28.02.2023,"61,00","61,00","61,00","61,00","0,00",852.0,51.972,51.972
12.01.2023,"61,00","61,00","61,00","61,00","0,00",763.0,46.543,46.543
23.12.2022,"61,00","61,00","61,00","61,00","0,00",182.0,11.102,11.102
22.12.2022,"61,00","61,00","61,00","61,00","0,00",783.0,47.763,47.763
16.11.2022,"61,00","61,00","61,00","61,00","0,00",524.0,31.964,31.964
13.10.2022,"61,00","61,00","61,00","61,00","0,00",861.0,52.521,52.521
12.10.2022,"61,00","61,00","61,00","61,00","0,00",1.079,65.819,65.819
29.09.2022,"61,00","61,00","61,00","61,00","0,00",757.0,46.177,46.177
28.09.2022,"61,00","61,00","61,00","61,00","0,00",1.042,63.562,63.562
06.09.2022,"61,00","61,00","61,00","61,00","0,00",864.0,52.704,52.704
30.08.2022,"61,00","61,00","61,00","61,00","0,00",294.0,17.934,17.934
25.08.2022,"61,00","61,00","61,00","61,00","0,00",203.0,12.383,12.383
24.08.2022,"61,00","61,00","61,00","61,00","0,00",1.391,84.851,84.851
23.08.2022,"61,00","61,00","61,00","61,00","0,00",1.1,67.1,67.1
15.08.2022,"61,00","61,00","61,00","61,00","0,00",591.0,36.051,36.051
29.07.2022,"61,00","61,00","61,00","61,00","0,00",638.0,38.918,38.918
21.07.2022,"61,00","61,00","61,00","61,00","0,00",760.0,46.36,46.36
20.07.2022,"61,00","61,00","61,00","61,00","0,00",1.086,66.246,66.246
12.07.2022,"61,00","61,00","61,00","61,00","0,00",278.0,16.958,16.958
06.07.2022,"61,00","61,00","61,00","61,00","0,00",3.216,196.176,196.176
09.06.2022,"61,00","61,00","61,00","61,00","0,00",5.853,357.033,357.033
08.06.2022,"61,00","61,00","61,00","61,00","0,00",9.082,554.002,554.002
07.06.2022,"61,00","61,00","61,00","61,00","0,00",8.791,536.251,536.251
02.06.2022,"61,00","61,00","61,00","61,00","0,00",545.0,33.245,33.245
01.06.2022,"61,00","61,00","61,00","61,00","0,00",707.0,43.127,43.127
30.05.2022,"61,00","61,00","61,00","61,00","0,00",2.132,130.052,130.052
26.05.2022,"61,00","61,00","61,00","61,00","0,00",2.756,168.116,168.116
18.05.2022,"61,00","61,00","61,00","61,00","0,00",1.129,68.869,68.869
16.05.2022,"61,00","61,00","61,00","61,00","0,00",5.182,316.102,316.102
12.05.2022,"61,00","61,00","61,00","61,00","0,00",9.007,549.427,549.427
04.05.2022,"61,00","61,00","61,00","61,00","0,00",10.706,653.066,653.066
29.04.2022,"61,00","61,00","61,00","61,00","0,00",5.479,334.219,334.219
28.04.2022,"61,00","61,00","61,00","61,00","0,00",5.506,335.866,335.866
27.04.2022,"61,00","61,00","61,00","61,00","0,00",5.117,312.137,312.137
26.04.2022,"61,00","61,00","61,00","61,00","0,00",5.632,343.552,343.552
21.04.2022,"61,00","61,00","61,00","61,00","0,00",5.507,335.927,335.927
