Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.03.2023,"2.101,00","2.101,00","2.101,00","2.101,00","16,72",38.0,79.838,79.838
04.01.2023,"1.800,00","1.800,00","1.800,00","1.800,00","-0,06",41.0,73.800,73.800
15.06.2022,"1.801,00","1.801,00","1.801,00","1.801,00","14,86",139.0,250.339,250.339
04.05.2021,"1.568,00","1.568,00","1.568,00","1.568,00","4,53",25.0,39.200,39.200
02.04.2021,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",103.0,154.500,154.500
01.04.2021,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",310.0,465.000,465.000
31.03.2021,"1.500,00","1.500,00","1.500,00","1.500,00","25,00",200.0,300.000,300.000
05.02.2021,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",11.0,13.200,13.200
23.06.2020,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",164.0,196.800,196.800
08.05.2020,"1.200,00","1.200,00","1.200,00","1.200,00","11,11",300.0,360.000,360.000
27.04.2020,"1.080,00","1.080,00","1.080,00","1.080,00","-10,00",141.0,152.280,152.280
20.02.2020,"1.200,00","1.200,00","1.200,00","1.200,00","9,09",198.0,237.600,237.600
06.11.2019,"1.100,00","1.100,00","1.100,00","1.100,00","-8,33",100.0,110.000,110.000
10.09.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",10.0,12.000,12.000
31.07.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",125.0,150.000,150.000
22.05.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",116.0,139.200,139.200
17.05.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",830.0,996.000,996.000
16.05.2019,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",245.0,294.000,294.000
19.03.2019,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",215.0,215.000,215.000
11.03.2019,"1.000,00","1.000,00","1.000,00","1.000,00","-28,57",258.0,258.000,258.000
24.12.2018,"1.400,00","1.400,00","1.400,00","1.400,00","0,07",2.106,2.948.400,2.948.400
21.12.2018,"1.399,00","1.399,00","1.399,00","1.399,00","16,58",6.0,8.394,8.394
19.12.2018,"1.200,00","1.200,00","1.200,00","1.200,00","33,33",400.0,480.000,480.000
31.10.2018,"900,00","900,00","900,00","900,00","0,00",176.0,158.400,158.400
15.11.2017,"900,00","900,00","900,00","900,00","-10,00",886.0,797.400,797.400
10.03.2017,"1.000,00","1.000,00","1.000,00","1.000,00","-9,09",5.0,5.000,5.000
09.03.2017,"1.100,00","1.100,00","1.100,00","1.100,00","-8,33",100.0,110.000,110.000
23.02.2017,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",184.0,220.800,220.800
16.02.2017,"1.200,00","1.200,00","1.200,00","1.200,00","4,35",136.0,163.200,163.200
27.01.2017,"1.150,00","1.150,00","1.150,00","1.150,00","-4,17",30.0,34.500,34.500
27.12.2016,"1.200,00","1.200,00","1.200,00","1.200,00","-16,67",161.0,193.200,193.200
22.12.2016,"1.440,00","1.440,00","1.440,00","1.440,00","20,00",871.0,1.254.240,1.254.240
20.12.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",1.194,1.432.800,1.432.800
19.12.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",4.427,5.312.400,5.312.400
22.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",390.0,468.000,468.000
17.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",546.0,655.200,655.200
14.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",931.0,1.117.200,1.117.200
10.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",313.0,375.600,375.600
08.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",363.0,435.600,435.600
27.10.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",225.0,270.000,270.000
22.08.2016,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",8.0,9.600,9.600
13.06.2016,"1.000,00","1.000,00","1.000,00","1.000,00","25,00",254.0,254.000,254.000
03.11.2015,"800,00","800,00","800,00","800,00","11,11",102.0,81.600,81.600
15.09.2015,"720,00","720,00","720,00","720,00","18,42",98.0,70.560,70.560
28.05.2015,"608,00","608,00","608,00","608,00","0,83",122.0,74.176,74.176
27.05.2015,"603,00","603,00","603,00","603,00","20,60",121.0,72.963,72.963
28.04.2015,"500,00","500,00","500,00","500,00","0,00",14.0,7.000,7.000
01.04.2015,"500,00","500,00","500,00","500,00","0,00",130.0,65.000,65.000
27.02.2015,"500,00","500,00","500,00","500,00","0,00",43.0,21.500,21.500
21.01.2015,"500,00","500,00","500,00","500,00","0,00",60.0,30.000,30.000
