Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
09.03.2023,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.400,92.400
22.12.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",25,231.000,231.000
20.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",60,554.400,554.400
10.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",84,776.160,776.160
04.10.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",91,840.840,840.840
26.09.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",18,166.320,166.320
16.08.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",29,267.960,267.960
01.06.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.400,92.400
30.05.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",168,1.552.320,1.552.320
02.03.2022,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",130,1.201.200,1.201.200
10.06.2021,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",61,563.640,563.640
01.03.2021,"9.240,00","9.240,00","9.240,00","9.240,00","29,96",103,951.720,951.720
06.09.2018,"7.110,00","7.110,00","7.110,00","7.110,00","-2,99",40,284.400,284.400
27.05.2015,"7.329,00","7.329,00","7.329,00","7.329,00","0,00",10,73.290,73.290
03.03.2015,"7.329,00","7.329,00","7.329,00","7.329,00","-2,99",13,95.277,95.277
28.11.2014,"7.555,00","7.555,00","7.555,00","7.555,00","7,01",24,181.320,181.320
27.11.2014,"7.060,00","7.060,00","7.060,00","7.060,00","8,62",35,247.100,247.100
