Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
17.12.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.000,39.000
12.09.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.000,12.000
12.06.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
03.06.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",7,21.0,21.0
29.05.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
14.03.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.0,39.0
19.02.2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0,12.0
26.12.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",15,45.0,45.0
01.03.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
09.01.2023,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",11,33.0,33.0
05.09.2022,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
14.06.2022,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
09.06.2021,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.0,39.0
24.02.2021,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
24.12.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0,12.0
19.03.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0,12.0
25.02.2019,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",6,18.0,18.0
04.12.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
21.11.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.0,48.0
22.05.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
15.02.2018,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",8,24.0,24.0
20.06.2017,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
11.01.2017,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
22.12.2016,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
11.05.2016,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
06.07.2015,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.0,48.0
