Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
24.07.2024,"350,00","350,00","350,00","350,00","5,11",27.0,9.45,9.45
25.04.2024,"333,00","333,00","333,00","333,00","0,00",720.0,239.76,239.76
14.12.2022,"333,00","333,00","333,00","333,00","0,00",480.0,159.84,159.84
22.03.2022,"333,00","333,00","333,00","333,00","0,00",558.0,185.814,185.814
25.10.2021,"333,00","333,00","333,00","333,00","0,30",1.915,637.695,637.695
19.10.2021,"332,00","332,00","332,00","332,00","-2,92",300.0,99.6,99.6
09.03.2021,"342,00","342,00","342,00","342,00","-2,29",282.0,96.444,96.444
22.01.2021,"350,00","350,00","350,00","350,00","-21,35",474.0,165.9,165.9
29.10.2020,"445,00","445,00","445,00","445,00","0,91",76.0,33.82,33.82
30.07.2020,"441,00","441,00","441,00","441,00","-18,33",300.0,132.3,132.3
23.07.2020,"540,00","540,00","540,00","540,00","1,89",144.0,77.76,77.76
22.07.2020,"530,00","530,00","530,00","530,00","2,91",206.0,109.18,109.18
21.07.2020,"515,00","515,00","515,00","515,00","60,44",100.0,51.5,51.5
10.07.2020,"321,00","321,00","321,00","321,00","-62,24",47.0,15.087,15.087
17.05.2019,"850,00","850,00","850,00","850,00","177,78",5.0,4.25,4.25
14.03.2019,"306,00","306,00","306,00","306,00","2,68",168.0,51.408,51.408
22.01.2019,"298,00","298,00","298,00","298,00","0,00",174.0,51.852,51.852
20.12.2018,"298,00","298,00","298,00","298,00","2,76",120.0,35.76,35.76
13.09.2018,"290,00","290,00","290,00","290,00","-3,33",252.0,73.08,73.08
07.06.2018,"300,00","300,00","300,00","300,00","-17,58",3.0,900.0,900.0
06.06.2018,"364,00","364,00","364,00","364,00","21,33",162.0,58.968,58.968
23.05.2018,"300,00","300,00","300,00","300,00","-36,31",7.0,2.1,2.1
07.03.2018,"471,00","471,00","471,00","471,00","0,00",300.0,141.3,141.3
06.03.2018,"471,00","471,00","471,00","471,00","0,00",111.0,52.281,52.281
05.03.2018,"471,00","471,00","471,00","471,00","0,00",89.0,41.919,41.919
07.02.2018,"471,00","471,00","471,00","471,00","-2,89",85.0,40.035,40.035
31.10.2017,"485,00","485,00","485,00","485,00","0,00",600.0,291.0,291.0
22.09.2017,"485,00","485,00","485,00","485,00","-2,81",72.0,34.92,34.92
15.09.2017,"499,00","499,00","499,00","499,00","2,89",1.7,848.3,848.3
31.08.2017,"485,00","485,00","485,00","485,00","0,00",60.0,29.1,29.1
30.08.2017,"485,00","485,00","485,00","485,00","-3,00",15.0,7.275,7.275
14.07.2017,"500,00","500,00","500,00","500,00","0,00",1.0,500.0,500.0
08.06.2017,"500,00","500,00","500,00","500,00","-26,04",1.2,600.0,600.0
07.03.2017,"676,00","676,00","676,00","676,00","-3,29",1.0,676.0,676.0
16.02.2016,"699,00","699,00","699,00","699,00","369,13",525.0,366.975,366.975
18.05.2015,"149,00","149,00","149,00","149,00","-0,67",666.0,99.234,99.234
