Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2023,"600,00","600,00","600,00","600,00","0,00",10,6.000,6.000
28.10.2022,"600,00","600,00","600,00","600,00","8,50",82,49.2,49.2
23.12.2021,"553,00","553,00","553,00","553,00","0,00",94,51.982,51.982
17.09.2021,"553,00","553,00","553,00","553,00","-2,98",96,53.088,53.088
03.09.2019,"570,00","570,00","570,00","570,00","0,00",112,63.84,63.84
04.07.2018,"570,00","570,00","570,00","570,00","0,00",8,4.56,4.56
15.05.2018,"570,00","570,00","570,00","570,00","0,00",168,95.76,95.76
27.02.2017,"570,00","570,00","570,00","570,00","0,00",110,62.7,62.7
07.10.2016,"570,00","570,00","570,00","570,00","0,00",18,10.26,10.26
12.08.2016,"570,00","570,00","570,00","570,00","0,00",23,13.11,13.11
01.08.2016,"570,00","570,00","570,00","570,00","0,00",103,58.71,58.71
15.07.2016,"570,00","570,00","570,00","570,00","0,00",16,9.12,9.12
24.06.2016,"570,00","570,00","570,00","570,00","0,00",173,98.61,98.61
16.11.2015,"570,00","570,00","570,00","570,00","0,00",65,37.05,37.05
28.10.2015,"570,00","570,00","570,00","570,00","0,00",20,11.4,11.4
02.06.2015,"570,00","570,00","570,00","570,00","0,00",16,9.12,9.12
06.02.2015,"570,00","570,00","570,00","570,00","0,00",35,19.95,19.95
12.12.2014,"570,00","570,00","570,00","570,00","0,00",57,32.49,32.49
18.11.2014,"570,00","570,00","570,00","570,00","0,00",20,11.4,11.4
