Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
28.11.2024,"237,00","237,00","237,00","237,00","0,00",246,58.302,58.302
21.11.2024,"237,00","237,00","237,00","237,00","0,00",90,21.330,21.330
25.09.2024,"237,00","237,00","237,00","237,00","2,60",250.0,59.250,59.250
25.03.2024,"231,00","231,00","231,00","231,00","2,67",720.0,166.320,166.320
22.03.2024,"225,00","225,00","225,00","225,00","2,74",4.001,900.225,900.225
16.01.2024,"219,00","219,00","219,00","219,00","0,00",260.0,56.940,56.940
12.01.2024,"219,00","219,00","219,00","219,00","-0,45",150.0,32.850,32.850
09.11.2023,"220,00","220,00","220,00","220,00","6,80",60.0,13.200,13.200
05.10.2023,"206,00","206,00","206,00","206,00","0,00",130.0,26.780,26.780
26.09.2023,"206,00","206,00","206,00","206,00","0,00",40.0,8.240,8.240
20.09.2023,"206,00","206,00","206,00","206,00","0,00",75.0,15.450,15.450
29.08.2023,"206,00","206,00","206,00","206,00","7,85",600.0,123.600,123.600
04.05.2023,"191,00","191,00","191,00","191,00","0,53",106.0,20.246,20.246
07.04.2023,"190,00","190,00","190,00","190,00","-2,56",100.0,19.000,19.000
09.03.2023,"195,00","195,00","195,00","195,00","-2,50",80.0,15.600,15.600
24.02.2023,"200,00","200,00","200,00","200,00","0,00",60.0,12.000,12.000
22.02.2023,"200,00","200,00","200,00","200,00","0,00",50.0,10.000,10.000
16.01.2023,"200,00","200,00","200,00","200,00","0,00",140.0,28.000,28.000
05.01.2023,"200,00","200,00","200,00","200,00","0,00",30.0,6.000,6.000
03.11.2022,"200,00","200,00","200,00","200,00","0,00",100.0,20.000,20.000
28.09.2022,"200,00","200,00","200,00","200,00","-1,96",30.0,6.000,6.000
16.08.2022,"204,00","204,00","204,00","204,00","-41,55",50.0,10.200,10.200
27.07.2022,"349,00","349,00","349,00","349,00","83,68",100.0,34.900,34.900
01.06.2022,"190,00","190,00","190,00","190,00","0,00",250.0,47.500,47.500
27.05.2022,"190,00","190,00","190,00","190,00","0,00",60.0,11.400,11.400
26.04.2022,"190,00","190,00","190,00","190,00","2,70",800.0,152.000,152.000
29.03.2022,"185,00","185,00","185,00","185,00","0,00",702.0,129.870,129.870
24.02.2022,"185,00","185,00","185,00","185,00","-11,48",500.0,92.500,92.500
17.02.2022,"209,00","209,00","209,00","209,00","28,22",900.0,188.100,188.100
