Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
10.07.2024,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",20,38.000,38.000
31.01.2022,"1.900,00","1.900,00","1.900,00","1.900,00","2,15",116.0,220.400,220.400
03.07.2020,"1.860,00","1.860,00","1.860,00","1.860,00","20,00",247.0,459.420,459.420
02.07.2020,"1.550,00","1.550,00","1.550,00","1.550,00","24,00",324.0,502.200,502.200
01.10.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",134.0,167.500,167.500
19.07.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",118.0,147.500,147.500
24.04.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",339.0,423.750,423.750
01.04.2019,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",58.0,72.500,72.500
19.11.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",59.0,73.750,73.750
06.11.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",140.0,175.000,175.000
18.10.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",127.0,158.750,158.750
30.08.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",147.0,183.750,183.750
20.08.2018,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",236.0,295.000,295.000
06.12.2017,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",328.0,410.000,410.000
24.07.2017,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",362.0,452.500,452.500
15.06.2017,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",372.0,465.000,465.000
11.11.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",4.942,6.177.500,6.177.500
04.11.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",129.0,161.250,161.250
21.10.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",104.0,130.000,130.000
06.07.2016,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",257.0,321.250,321.250
11.09.2015,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",121.0,151.250,151.250
