Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.01.2021,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000,60.000
04.12.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",220,1.320.000,1.320.000
29.11.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.000,180.000
15.11.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",40,240.000,4.140.000
09.04.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",5,30.000,30.000
08.04.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",5,30.000,30.000
06.03.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000,60.000
01.02.2019,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000,120.000
14.12.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",25,150.000,150.000
30.11.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000,120.000
23.11.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",33,198.000,198.000
09.10.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000,120.000
12.09.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",8,48.000,48.000
03.08.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000,60.000
12.04.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.000,180.000
21.03.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000,120.000
13.02.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.000,120.000
25.01.2018,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.000,180.000
22.12.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",25,150.000,150.000
06.12.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",35,210.000,210.000
16.11.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.000,60.000
05.06.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",150,900.000,900.000
05.05.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",1,6.000,6.000
13.03.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",100,600.000,600.000
07.02.2017,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",240,1.440.000,1.440.000
02.02.2017,"6.000,00","6.000,00","6.000,00","6.000,00","46,31",100,600.000,600.000
08.11.2016,"4.101,00","4.101,00","4.101,00","4.101,00","2,52",119,488.019,488.019
11.05.2016,"4.000,00","4.000,00","4.000,00","4.000,00","-34,43",175,700.000,700.000
28.04.2015,"6.100,00","6.100,00","6.100,00","6.100,00","-7,58",1,6.100,6.100
19.12.2014,"6.600,00","6.600,00","6.600,00","6.600,00","-2,94",1,6.600,6.600
