Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
14.10.2024,"308,00","308,00","308,00","308,00","2,67",1.230,378.840,378.840
19.03.2024,"300,00","300,00","300,00","300,00","-2,60",1.309,392.700,392.700
25.01.2024,"308,00","308,00","308,00","308,00","0,00",3.757,1.157.156,1.157.156
20.12.2023,"308,00","308,00","308,00","308,00","0,00",9.351,2.880.108,2.880.108
20.11.2023,"308,00","308,00","308,00","308,00","0,00",2.774,854.392,854.392
18.10.2023,"308,00","308,00","308,00","308,00","53,23",3.577,1.101.716,1.101.716
25.10.2022,"201,00","201,00","201,00","201,00","-2,90",1.526,306.726,306.726
21.10.2022,"207,00","207,00","207,00","207,00","107,00",1.0,207,207
14.02.2020,"100,00","100,00","100,00","100,00","29,87",1.125,112.500,112.500
19.12.2014,"77,00","77,00","77,00","77,00","-23,00",33.498,2.579.346,2.579.346
