Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
22.02.2022,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",206,329.600,329.600
19.09.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",41,65.600,65.600
13.08.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",700,1.120.000,1.120.000
17.07.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",700,1.120.000,1.120.000
20.05.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",600,960.000,960.000
23.01.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",400,640.000,640.000
19.12.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",600,960.000,960.000
21.11.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000,800.000
08.10.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000,800.000
14.08.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000,800.000
05.07.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.000,800.000
19.06.2017,"1.600,00","1.600,00","1.600,00","1.600,00","-20,00",500,800.000,800.000
27.12.2016,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",621,1.242.000,1.242.000
02.06.2016,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",371,742.000,742.000
16.03.2016,"2.000,00","2.000,00","2.000,00","2.000,00","25,00",453,906.000,906.000
27.10.2015,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",72,115.200,115.200
