Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
02.10.2023,"840,00","840,00","840,00","840,00","0,00",328,275.52,275.52
29.09.2023,"840,00","840,00","840,00","840,00","-33,28",1,840.0,840.0
28.07.2023,"1.259,00","1.259,00","1.259,00","1.259,00","0,00",416,523.744,523.744
12.05.2023,"1.259,00","1.259,00","1.259,00","1.259,00","0,00",417,525.003,525.003
23.03.2023,"1.259,00","1.259,00","1.259,00","1.259,00","-59,06",417,525.003,525.003
12.12.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",19,58.425,58.425
10.12.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",5,15.375,15.375
29.11.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",16,49.2,49.2
28.11.2018,"3.075,00","3.075,00","3.075,00","3.075,00","0,00",2,6.15,6.15
27.11.2018,"3.075,00","3.075,00","3.075,00","3.075,00","2,50",47,144.525,144.525
