Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
23.08.2019,"20,00","20,00","20,00","20,00","0,00",31.0,620.0,620.0
01.08.2019,"20,00","20,00","20,00","20,00","0,00",56.0,1.12,1.12
07.05.2019,"20,00","20,00","20,00","20,00","-20,00",13.0,260.0,260.0
22.02.2019,"25,00","25,00","25,00","25,00","25,00",400.0,10.0,10.0
21.02.2019,"20,00","20,00","20,00","20,00","0,00",34.0,680.0,680.0
15.02.2019,"20,00","20,00","20,00","20,00","0,00",29.0,580.0,580.0
13.02.2019,"20,00","20,00","20,00","20,00","0,00",50.0,1.0,1.0
01.02.2019,"20,00","20,00","20,00","20,00","-20,00",300.0,6.0,6.0
17.12.2018,"25,00","25,00","25,00","25,00","0,00",600.0,15.0,15.0
08.11.2018,"25,00","25,00","25,00","25,00","0,00",500.0,12.5,12.5
06.11.2018,"25,00","25,00","25,00","25,00","0,00",9.0,225.0,225.0
17.09.2018,"25,00","25,00","25,00","25,00","0,00",58.0,1.45,1.45
22.08.2018,"25,00","25,00","25,00","25,00","-10,71",100.0,2.5,2.5
16.08.2018,"28,00","28,00","28,00","28,00","0,00",300.0,8.4,8.4
10.07.2018,"28,00","28,00","28,00","28,00","0,00",1.0,28.0,28.0
27.06.2018,"28,00","28,00","28,00","28,00","40,00",805.0,22.54,22.54
14.06.2018,"20,00","20,00","20,00","20,00","-33,33",34.0,680.0,680.0
21.03.2018,"30,00","30,00","30,00","30,00","50,00",215.0,6.45,6.45
19.02.2018,"20,00","20,00","20,00","20,00","0,00",25.0,500.0,500.0
12.02.2018,"20,00","20,00","20,00","20,00","0,00",21.0,420.0,420.0
01.02.2018,"20,00","20,00","20,00","20,00","-20,00",25.0,500.0,500.0
10.01.2018,"25,00","25,00","25,00","25,00","0,00",1.0,25.0,25.0
04.10.2017,"25,00","25,00","25,00","25,00","0,00",33.0,825.0,825.0
08.08.2017,"25,00","25,00","25,00","25,00","-19,35",2.0,50.0,50.0
27.07.2017,"31,00","31,00","31,00","31,00","0,00",1.513,46.903,46.903
26.07.2017,"31,00","31,00","31,00","31,00","0,00",1.738,53.878,53.878
25.07.2017,"31,00","31,00","31,00","31,00","24,00",1.0,31.0,31.0
21.07.2017,"25,00","25,00","25,00","25,00","0,00",1.763,44.075,44.075
28.06.2017,"25,00","25,00","25,00","25,00","0,00",23.0,575.0,575.0
16.05.2017,"25,00","25,00","25,00","25,00","0,00",19.0,475.0,475.0
06.03.2017,"25,00","25,00","25,00","25,00","0,00",20.0,500.0,500.0
24.02.2017,"25,00","25,00","25,00","25,00","0,00",200.0,5.0,5.0
02.02.2017,"25,00","25,00","25,00","25,00","0,00",1.0,25.0,25.0
29.11.2016,"25,00","25,00","25,00","25,00","0,00",100.0,2.5,2.5
17.11.2016,"25,00","25,00","25,00","25,00","0,00",16.0,400.0,400.0
21.09.2016,"25,00","25,00","25,00","25,00","0,00",55.0,1.375,1.375
12.04.2016,"25,00","25,00","25,00","25,00","0,00",640.0,16.0,16.0
11.04.2016,"25,00","25,00","25,00","25,00","0,00",358.0,8.95,8.95
22.03.2016,"25,00","25,00","25,00","25,00","0,00",25.0,625.0,625.0
10.03.2016,"25,00","25,00","25,00","25,00","0,00",90.0,2.25,2.25
03.03.2016,"25,00","25,00","25,00","25,00","0,00",27.0,675.0,675.0
11.01.2016,"25,00","25,00","25,00","25,00","0,00",40.0,1.0,1.0
28.12.2015,"25,00","25,00","25,00","25,00","0,00",25.0,625.0,625.0
23.11.2015,"25,00","25,00","25,00","25,00","0,00",13.0,325.0,325.0
09.09.2015,"25,00","25,00","25,00","25,00","0,00",145.0,3.625,3.625
19.08.2015,"25,00","25,00","25,00","25,00","0,00",65.0,1.625,1.625
28.07.2015,"25,00","25,00","25,00","25,00","0,00",24.0,600.0,600.0
24.06.2015,"25,00","25,00","25,00","25,00","0,00",19.0,475.0,475.0
28.05.2015,"25,00","25,00","25,00","25,00","0,00",23.0,575.0,575.0
01.04.2015,"25,00","25,00","25,00","25,00","0,00",27.0,675.0,675.0
12.02.2015,"25,00","25,00","25,00","25,00","0,00",31.0,775.0,775.0
