Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
23.12.2022,"20,00","20,00","20,00","20,00","0,00",21.0,420.000,420.000
22.12.2022,"20,00","20,00","20,00","20,00","-28,57",600.0,12.000,12.000
26.10.2022,"28,00","28,00","28,00","28,00","0,00",96.0,2.688,2.688
28.09.2022,"28,00","28,00","28,00","28,00","0,00",34.0,952,952
17.07.2020,"28,00","28,00","28,00","28,00","0,00",12.9,361.200,361.200
16.07.2020,"28,00","28,00","28,00","28,00","16,67",12.125,339.500,339.500
10.06.2020,"24,00","24,00","24,00","24,00","-4,00",228.0,5.472,5.472
02.06.2020,"25,00","25,00","25,00","25,00","31,58",2.087,52.175,52.175
21.04.2020,"19,00","19,00","19,00","19,00","11,76",524.0,9.956,9.956
12.03.2020,"17,00","17,00","17,00","17,00","0,00",28.0,476,476
10.03.2020,"17,00","17,00","17,00","17,00","-15,00",529.0,8.993,8.993
30.10.2019,"20,00","20,00","20,00","20,00","66,67",13.0,260,260
18.09.2019,"12,00","12,00","12,00","12,00","0,00",37.0,444,444
04.09.2019,"12,00","12,00","12,00","12,00","0,00",960.0,11.520,11.520
23.08.2019,"12,00","12,00","12,00","12,00","0,00",33.0,396,396
07.05.2019,"12,00","12,00","12,00","12,00","0,00",13.0,156,156
09.04.2019,"12,00","12,00","12,00","12,00","0,00",17.35,208.200,208.200
19.03.2019,"12,00","12,00","12,00","12,00","20,00",36.0,432,432
14.02.2019,"10,00","10,00","10,00","10,00","0,00",43.174,431.740,431.740
06.02.2019,"10,00","10,00","10,00","10,00","0,00",200.0,2.000,2.000
28.09.2018,"10,00","10,00","10,00","10,00","0,00",51.0,510,510
16.08.2018,"10,00","10,00","10,00","10,00","0,00",600.0,6.000,6.000
29.05.2018,"10,00","10,00","10,00","10,00","25,00",2.0,20.000,20.000
07.03.2018,"8,00","8,00","8,00","8,00","0,00",1.0,8.000,8.000
04.10.2017,"8,00","8,00","8,00","8,00","-57,89",36.0,288,288
01.09.2017,"19,00","19,00","19,00","19,00","0,00",1.0,19.000,19.000
22.08.2017,"19,00","19,00","19,00","19,00","0,00",1.0,19.000,19.000
18.08.2017,"19,00","19,00","19,00","19,00","0,00",1.477,28.063,28.063
14.08.2017,"19,00","19,00","19,00","19,00","90,00",2.319,44.061,44.061
25.07.2017,"10,00","10,00","10,00","10,00","42,86",390.0,3.900,3.900
17.02.2017,"7,00","7,00","7,00","7,00","0,00",38.897,272.279,272.279
26.01.2017,"7,00","7,00","7,00","7,00","0,00",38.207,267.449,267.449
25.01.2017,"7,00","7,00","7,00","7,00","0,00",46.308,324.156,324.156
24.01.2017,"7,00","7,00","7,00","7,00","0,00",26.462,185.234,185.234
23.01.2017,"7,00","7,00","7,00","7,00","0,00",10.0,70.000,70.000
20.01.2017,"7,00","7,00","7,00","7,00","0,00",71.0,497.000,497.000
08.11.2016,"7,00","7,00","7,00","7,00","0,00",211.117,1.477.819,1.477.819
12.01.2016,"7,00","7,00","7,00","7,00","0,00",500.0,3.500,3.500
04.01.2016,"7,00","7,00","7,00","7,00","0,00",47.0,329,329
19.08.2015,"7,00","7,00","7,00","7,00","-30,00",24.0,168,168
