Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
16.09.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",127,393.700,393.700
06.08.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",113,350.300,350.300
17.10.2023,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",271,840.100,840.100
05.09.2023,"3.100,00","3.100,00","3.100,00","3.100,00","-0,10",50,155.000,155.000
11.08.2023,"3.103,00","3.103,00","3.103,00","3.103,00","-0,10",156,484.068,484.068
15.05.2023,"3.106,00","3.106,00","3.106,00","3.106,00","0,19",100,310.600,310.600
11.04.2023,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",308,954.800,954.800
16.01.2023,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",70,217.000,217.000
27.10.2022,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",24,74.400,74.400
06.10.2022,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",206,638.600,638.600
03.10.2022,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",6,18.600,18.600
08.08.2022,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",200,620.000,620.000
23.04.2021,"3.100,00","3.100,00","3.100,00","3.100,00","2,96",300,930.000,930.000
23.03.2021,"3.011,00","3.011,00","3.011,00","3.011,00","-3,00",10,30.110,2.330.310
24.02.2021,"3.104,00","3.104,00","3.104,00","3.104,00","-3,00",100,310.400,310.400
18.11.2019,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",10,32.000,32.000
17.10.2019,"3.200,00","3.200,00","3.200,00","3.200,00","-0,03",100,320.000,320.000
26.09.2019,"3.201,00","3.201,00","3.201,00","3.201,00","-3,00",100,320.100,320.100
10.07.2019,"3.300,00","3.300,00","3.300,00","3.300,00","-2,94",300,990.000,990.000
18.06.2019,"3.400,00","3.400,00","3.400,00","3.400,00","-2,86",38,129.200,129.200
10.04.2019,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",220,770.000,770.000
27.03.2019,"3.500,00","3.500,00","3.500,00","3.500,00","0,23",40,140.000,140.000
07.03.2019,"3.492,00","3.492,00","3.492,00","3.492,00","-3,00",20,69.840,69.840
15.11.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",80,288.000,288.000
26.09.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",10,36.000,36.000
21.08.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",170,612.000,612.000
28.06.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",79,284.400,284.400
23.05.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",40,144.000,144.000
02.04.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",60,216.000,216.000
06.03.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",405,1.458.000,1.458.000
02.03.2018,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",253,910.800,910.800
19.02.2018,"3.600,00","3.600,00","3.600,00","3.600,00","-40,98",299,1.076.400,1.076.400
18.01.2018,"6.100,00","6.100,00","6.100,00","6.100,00","95,89",13,79.300,79.300
28.09.2016,"3.114,00","3.114,00","3.114,00","3.114,00","0,00",30,93.420,93.420
12.07.2016,"3.114,00","3.114,00","3.114,00","3.114,00","-2,99",12,37.368,37.368
28.05.2015,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",13,41.730,41.730
08.05.2015,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",32,102.720,102.720
28.04.2015,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",50,160.500,160.500
21.04.2015,"3.210,00","3.210,00","3.210,00","3.210,00","0,00",10,32.100,32.100
26.03.2015,"3.210,00","3.210,00","3.210,00","3.210,00","-2,99",40,128.400,128.400
26.02.2015,"3.309,00","3.309,00","3.309,00","3.309,00","-2,99",8,26.472,26.472
02.12.2014,"3.411,00","3.411,00","3.411,00","3.411,00","10,03",20,68.220,68.220
