Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.01.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",105,189.0,189.0
21.01.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",73,131.4,131.4
01.10.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",47,84.6,84.6
06.08.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",27,48.6,48.6
16.05.2019,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",38,68.4,68.4
07.03.2019,"1.800,00","1.800,00","1.800,00","1.800,00","20,00",75,135.0,135.0
14.12.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",28,42.0,42.0
01.12.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",45,67.5,67.5
29.11.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",41,61.5,61.5
23.11.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",108,162.0,162.0
15.03.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",56,84.0,84.0
31.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",43,64.5,64.5
26.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",25,37.5,37.5
23.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",48,72.0,72.0
17.01.2017,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",38,57.0,57.0
28.12.2016,"1.500,00","1.500,00","1.500,00","1.500,00","50,00",86,129.0,129.0
25.07.2016,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",51,51.0,51.0
04.02.2016,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",35,35.0,35.0
15.12.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",43,43.0,43.0
04.09.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",88,88.0,88.0
06.07.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",43,43.0,43.0
09.03.2015,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",54,54.0,54.0
