Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
01.06.2021,"97,00","97,00","97,00","97,00","-2,02",50.0,4.850,4.850
16.08.2019,"99,00","99,00","99,00","99,00","102,04",50.0,4.950,4.950
14.01.2016,"49,00","49,00","49,00","49,00","0,00",12.149,595.301,595.301
13.01.2016,"49,00","49,00","49,00","49,00","0,00",140.384,6.878.816,6.878.816
12.01.2016,"49,00","49,00","49,00","49,00","-51,00",10.0,490,490
15.05.2015,"100,00","100,00","100,00","100,00","0,00",200.0,20.000,20.000
11.05.2015,"100,00","100,00","100,00","100,00","-2,91",984.0,98.400,98.400
26.12.2014,"103,00","103,00","103,00","103,00","1,98",48.544,5.000.032,5.000.032
28.11.2014,"101,00","101,00","101,00","101,00","-32,21",667.0,67.367,67.367
21.11.2014,"149,00","149,00","149,00","149,00","47,52",10.0,1.490,1.490
