Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
14.10.2024,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",3,111.000,111.000
03.10.2024,"37.000,00","37.000,00","37.000,00","37.000,00","1,93",5,185.000,185.000
11.09.2024,"36.300,00","36.300,00","36.300,00","36.300,00","0,00",8,290.400,290.400
05.09.2024,"36.300,00","36.300,00","36.300,00","36.300,00","-0,55",9,326.700,326.700
15.08.2024,"36.500,00","36.500,00","36.500,00","36.500,00","0,00",17,620.500,620.500
09.08.2024,"36.500,00","36.500,00","36.500,00","36.500,00","-1,75",33,1.204.500,1.204.500
23.07.2024,"37.150,00","37.150,00","37.150,00","37.150,00","0,00",47,1.746.050,1.746.050
22.07.2024,"37.150,00","37.150,00","37.150,00","37.150,00","-0,13",3,111.450,111.450
12.06.2024,"37.200,00","37.200,00","37.200,00","37.200,00","1,33",2,74.400,74.400
11.06.2024,"36.710,00","36.710,00","36.710,00","36.710,00","0,58",8,293.680,293.680
30.05.2024,"36.500,00","36.500,00","36.500,00","36.500,00","0,00",13,474.500,474.500
29.05.2024,"36.500,00","36.500,00","36.500,00","36.500,00","0,41",10,365.000,365.000
20.05.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,00",5,181.750,181.750
17.05.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,00",6,218.100,218.100
16.05.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,00",5,181.750,181.750
14.05.2024,"36.350,00","36.350,00","36.350,00","36.350,00","0,28",10,363.500,363.500
13.05.2024,"36.250,00","36.250,00","36.250,00","36.250,00","0,68",17,616.250,616.250
10.05.2024,"36.006,00","36.006,00","36.006,00","36.006,00","0,02",5,180.030,180.030
29.04.2024,"36.000,00","36.000,00","36.000,00","36.000,00","15,20",4,144.000,144.000
19.03.2024,"31.250,00","31.250,00","31.250,00","31.250,00","-2,34",2,62.500,62.500
01.03.2024,"32.000,00","32.000,00","32.000,00","32.000,00","1,11",5,160.000,160.000
29.02.2024,"31.650,00","31.650,00","31.650,00","31.650,00","1,28",5,158.250,158.250
27.02.2024,"31.251,00","31.251,00","31.251,00","31.251,00","-0,02",1,31.251,31.251
26.02.2024,"31.257,00","31.257,00","31.257,00","31.257,00","2,48",10,312.570,312.570
07.02.2024,"30.500,00","30.500,00","30.500,00","30.500,00","0,00",3,91.500,91.500
30.01.2024,"30.500,00","30.500,00","30.500,00","30.500,00","0,38",10,305.000,305.000
07.12.2023,"30.385,00","30.385,00","30.385,00","30.385,00","0,00",4,121.540,121.540
04.12.2023,"30.385,00","30.385,00","30.385,00","30.385,00","0,00",5,151.925,151.925
28.11.2023,"30.385,00","30.385,00","30.385,00","30.385,00","3,00",6,182.310,182.310
14.11.2023,"29.500,00","29.500,00","29.500,00","29.500,00","5,24",8,236.000,236.000
10.10.2023,"28.031,00","28.031,00","28.031,00","28.031,00","-3,00",3,84.093,84.093
