Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
28.06.2023,"7.838,00","7.838,00","7.838,00","7.838,00","0,00",116,909.208,909.208
11.04.2023,"7.838,00","7.838,00","7.838,00","7.838,00","-21,62",80,627.040,627.040
03.01.2022,"10.000,00","10.000,00","10.000,00","10.000,00","0,00",248,2.480.000,2.480.000
20.08.2021,"10.000,00","10.000,00","10.000,00","10.000,00","-9,09",116,1.160.000,1.160.000
24.06.2021,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",62,682.000,682.000
05.05.2021,"11.000,00","11.000,00","11.000,00","11.000,00","0,00",120,1.320.000,1.320.000
12.11.2020,"11.000,00","11.000,00","11.000,00","11.000,00","-24,86",90,990.000,990.000
26.02.2020,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",136,1.991.040,1.991.040
01.08.2019,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",32,468.480,468.480
05.02.2019,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",28,409.920,409.920
12.12.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",30,439.200,439.200
08.10.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",8,117.120,117.120
05.09.2018,"14.640,00","14.640,00","14.640,00","14.640,00","0,00",84,1.229.760,1.229.760
19.04.2018,"14.640,00","14.640,00","14.640,00","14.640,00","2,74",32,468.480,468.480
16.04.2018,"14.250,00","14.250,00","14.250,00","14.250,00","0,00",12,171.000,171.000
07.03.2018,"14.250,00","14.250,00","14.250,00","14.250,00","4,93",1,14.250,1.170.810
12.02.2018,"13.580,00","13.580,00","13.580,00","13.580,00","-3,00",4,54.320,54.320
25.07.2017,"14.000,00","14.000,00","14.000,00","14.000,00","0,00",20,280.000,280.000
21.07.2017,"14.000,00","14.000,00","14.000,00","14.000,00","514,04",52,728.000,728.000
18.11.2016,"2.280,00","2.280,00","2.280,00","2.280,00","-2,98",8,18.240,18.240
12.02.2015,"2.350,00","2.350,00","2.350,00","2.350,00","-39,74",36,84.600,84.600
23.12.2014,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",8,31.200,31.200
