Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
12.06.2024,"309,00","309,00","309,00","309,00","0,00",297,91.773,91.773
10.08.2023,"309,00","309,00","309,00","309,00","0,00",1.0,309.0,309.0
03.07.2023,"309,00","309,00","309,00","309,00","0,00",1.0,309.0,309.0
06.06.2023,"309,00","309,00","309,00","309,00","0,00",923.0,285.207,285.207
25.04.2023,"309,00","309,00","309,00","309,00","0,00",2.477,765.393,765.393
17.12.2021,"309,00","309,00","309,00","309,00","0,00",100.0,30.9,30.9
16.12.2021,"309,00","309,00","309,00","309,00","0,00",1.725,533.025,533.025
13.12.2021,"309,00","309,00","309,00","309,00","0,00",1.196,369.564,369.564
16.03.2021,"309,00","309,00","309,00","309,00","145,24",1.391,429.819,429.819
11.05.2018,"126,00","126,00","126,00","126,00","0,00",1.052,132.552,132.552
30.01.2018,"126,00","126,00","126,00","126,00","2,44",1.172,147.672,147.672
