Date,Price of last transaction,Max,Min,Average price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
04.03.2022,"1.002,00","1.002,00","1.002,00","1.002,00","2,98",1.165,1.167.330,1.167.330
25.06.2020,"973,00","973,00","973,00","973,00","2,96",810.0,788.130,788.130
11.04.2019,"945,00","945,00","945,00","945,00","0,00",105.0,99.225,99.225
12.06.2018,"945,00","945,00","945,00","945,00","0,00",79.0,74.655,74.655
29.11.2017,"945,00","945,00","945,00","945,00","0,00",176.0,166.320,166.320
15.08.2017,"945,00","945,00","945,00","945,00","0,00",149.0,140.805,140.805
06.04.2017,"945,00","945,00","945,00","945,00","0,00",205.0,193.725,193.725
19.05.2016,"945,00","945,00","945,00","945,00","16,67",96.0,90.720,90.720
29.03.2016,"810,00","810,00","810,00","810,00","-14,29",1.855,1.502.550,1.502.550
16.11.2015,"945,00","945,00","945,00","945,00","0,00",47.0,44.415,44.415
30.07.2015,"945,00","945,00","945,00","945,00","0,00",143.0,135.135,135.135
08.05.2015,"945,00","945,00","945,00","945,00","0,00",101.0,95.445,95.445
13.01.2015,"945,00","945,00","945,00","945,00","0,00",114.0,107.730,107.730
